Fitness History Per Generation: 
Format: Generation,    Best fitness,   Avg fitness,    Worst fitness,  Improvement %

1,4.9,-1.9714,-9.6,0.0
2,8.1,2.3744,-0.09999999999999998,220.4423252510906
3,11.3,5.1668,3.3,117.6044474393531
4,12.8,7.9218,5.8,53.32120461407447
5,12.8,11.2056,9.4,41.45270014390669
6,13.0,12.115800000000002,11.3,8.122724352109673
7,13.4,12.7856,12.6,5.528318394162982
8,13.5,12.814800000000002,12.8,0.2283819296708893
9,13.6,12.850200000000001,12.8,0.27624309392264573
10,13.9,12.9382,12.8,0.6848142441362717
11,14.0,13.103800000000001,12.8,1.2799307477083466
12,14.1,13.443200000000001,13.1,2.590088371312134
13,14.6,13.6558,13.4,1.5814686979290522
14,14.6,13.9196,13.5,1.9317799030448717
15,14.6,14.1266,13.9,1.4871116986120214
16,15.1,14.367199999999999,14.0,1.7031699064176717
17,15.1,14.6204,14.5,1.762347569463789
18,15.1,14.6604,14.6,0.27359032584607224
19,15.1,14.758199999999999,14.6,0.667103216829005
20,15.1,14.9842,14.6,1.5313520619045742
21,15.2,15.1002,15.1,0.7741487700377709
22,15.2,15.1004,15.1,0.0013244857684090955
23,15.2,15.101600000000001,15.1,0.007946809356048554
24,15.2,15.105199999999998,15.1,0.023838533665286717
25,15.2,15.111199999999998,15.1,0.039721420437996376
26,15.2,15.124799999999999,15.1,0.08999947059135131
27,15.2,15.1506,15.1,0.17058076801016903
28,15.2,15.2,15.2,0.3260596940055084
29,15.2,15.2,15.2,0.0
30,15.2,15.2,15.2,0.0
31,15.2,15.2,15.2,0.0
32,15.2,15.2,15.2,0.0
33,15.2,15.2,15.2,0.0
34,15.2,15.2,15.2,0.0
35,15.2,15.2,15.2,0.0
36,15.2,15.2,15.2,0.0
37,15.2,15.2,15.2,0.0
38,15.2,15.2,15.2,0.0
39,15.2,15.2,15.2,0.0
40,15.2,15.2,15.2,0.0
41,15.2,15.2,15.2,0.0
42,15.2,15.2,15.2,0.0
43,15.2,15.2,15.2,0.0
44,15.2,15.2,15.2,0.0
45,15.2,15.2,15.2,0.0
46,15.2,15.2,15.2,0.0
47,15.2,15.2,15.2,0.0
48,15.2,15.2,15.2,0.0
49,15.2,15.2,15.2,0.0
50,15.2,15.2,15.2,0.0
51,15.2,15.2,15.2,0.0
52,15.2,15.2,15.2,0.0
53,15.2,15.2,15.2,0.0
54,15.2,15.2,15.2,0.0
55,15.2,15.2,15.2,0.0
56,15.2,15.2,15.2,0.0
57,15.2,15.2,15.2,0.0
58,15.2,15.2,15.2,0.0
59,15.2,15.2,15.2,0.0
60,15.2,15.2,15.2,0.0
61,15.2,15.2,15.2,0.0
62,15.2,15.2,15.2,0.0
63,15.2,15.2,15.2,0.0
64,15.2,15.2,15.2,0.0
65,15.2,15.2,15.2,0.0
66,15.2,15.2,15.2,0.0
67,15.2,15.2,15.2,0.0
68,15.2,15.2,15.2,0.0
69,15.2,15.2,15.2,0.0
70,15.2,15.2,15.2,0.0
71,15.2,15.2,15.2,0.0
72,15.2,15.2,15.2,0.0
73,15.2,15.2,15.2,0.0
74,15.2,15.2,15.2,0.0
75,15.2,15.2,15.2,0.0
76,15.2,15.2,15.2,0.0
77,15.2,15.2,15.2,0.0
78,15.2,15.2,15.2,0.0
79,15.2,15.2,15.2,0.0
80,15.2,15.2,15.2,0.0
81,15.2,15.2,15.2,0.0
82,15.2,15.2,15.2,0.0
83,15.2,15.2,15.2,0.0
84,15.2,15.2,15.2,0.0
85,15.2,15.2,15.2,0.0
86,15.2,15.2,15.2,0.0
87,15.2,15.2,15.2,0.0
88,15.2,15.2,15.2,0.0
89,15.2,15.2,15.2,0.0
90,15.2,15.2,15.2,0.0
91,15.2,15.2,15.2,0.0
92,15.2,15.2,15.2,0.0
93,15.2,15.2,15.2,0.0
94,15.2,15.2,15.2,0.0
95,15.2,15.2,15.2,0.0
96,15.2,15.2,15.2,0.0
97,15.2,15.2,15.2,0.0
98,15.2,15.2,15.2,0.0
99,15.2,15.2,15.2,0.0
100,15.2,15.2,15.2,0.0
